Duration (in seconds),ResponseId,ID,Condition,Condition_Dummy,Q1,Q2,Lit Q1,Lit Q2,Lit Q3,Lit Q4,Lit Q5,Lit Q6,Lit Q7,Lit Q8,Lit Q9,Lit Q10,Lit Q11,Lit Q12,Lit Q13,Gender,Gender_3_TEXT,Age,Educ,Race,Race_7_TEXT
553,R_3MbSgbS0SrLanWw,,Bar,0,1,2,35,15,24,24,20,Increase was the same in both intervals,25,40,20,Hertinol,Can't say,Tiosis,5,Male,,30,Completed bachelor's degree,White,
500,R_AgtyjZLF04UpuCd,,Bar,0,5,5,35,15,25,25,20,Increase was the same in both intervals,25,33,33,They are equal,Nopsorian,Tiosis,5,Female,,50,Completed bachelor's degree,White,
255,R_6DQNFwjnSOvL0SB,,Bar,0,2,2,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can't say,Tiosis,5,Female,,22,Some college,White,
284,R_Oydur1YqRhhS0gh,5f4a5b3dccae1c5e215cfe3e,Dot,1,3,5,35,15,25,25,20,Increase was the same in both intervals,25,40,60,Crosicol,They are equal,Coliosis,5,Female,,27,Completed high school with diploma,White,
363,R_2Yzzk4FQOt9o8mY,,Bar,0,2,7,35,15,25,25,20,Increase was the same in both intervals,24,40,20,Hertinol,Nopsorian,Tiosis,5,Male,,30,Completed associate degree,White,
424,R_ewyEHWp3d8WBbRT,,Bar,0,2,7,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can't say,Tiosis,50,Female,,33,Completed bachelor's degree,White,
931,R_1fjfI4en94Mj0E8,5dd5bbf239bca15813cff296,Dot,1,1,7,35,15,25,25,20,Increase was the same in both intervals,25,40,60,They are equal,Nopsorian,Tiosis,4.5,Female,,28,Completed high school with diploma,White,
809,R_R84sAGAXu8xcdLH,5d61ce966da6c60001f09a7a,Dot,1,2,3,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can't say,Tiosis,5,Other:,Agender,23,Completed bachelor's degree,White,
1969,R_1d49f5lcxRJBUan,5cead73185712e00190bcf17,Dot,1,7,7,35,15,25,25,20,Increase was the same in both intervals,24,40,20,They are equal,Can't say,Tiosis,5,Other:,Agender,38,Some college,Prefer not to say,
279,R_6l2JLXcWIv0PYB3,,Bar,0,3,7,35,15,25,25,20,Increase was the same in both intervals,24,40,20,Crosicol,Nopsorian,Tiosis,5,Female,,19,Completed high school with diploma,White,
